"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",1824.9748,285,344,0,0.2247,0.1149,-0.5113,0.2322,5725.3983,4805.9452,-2058.9726,"converged normally"
"02",382.193,141,488,0,0.1379,0.0557,0.0203,0.7538,4779.1242,3559.2171,-1291.6085,"converged normally"
"03",1149.2995,283,346,0,0.1814,0.0775,-0.1064,0.4419,5347.6446,4471.3652,-1889.6826,"converged normally"
"05",301.2095,264,365,0.0573,0.0398,0.0703,0.8959,0.951,4580.0001,3671.6478,-1470.8239,"converged normally"
"06",1970.3839,324,305,0,0.2376,0.1523,-0.2144,0.2986,2969.0256,2206.5836,-798.2918,"converged normally"
"07",1879.116,316,313,0,0.2331,0.131,-0.3935,0.2151,4199.2829,3413.3839,-1393.6919,"converged normally"
"08",1223.7961,254,375,0,0.2071,0.0931,-0.4178,0.3581,4460.7116,3527.4729,-1388.7365,"converged normally"
"09",1001.9011,222,407,0,0.1987,0.0872,-0.2639,0.4999,4753.7134,3740.8384,-1463.4192,"converged normally"
"10",1066.1187,234,395,0,0.1988,0.0971,-0.2324,0.4859,4776.2978,3788.873,-1499.4365,"converged normally"
"100",2519.1333,344,285,0,0.2636,0.2065,-0.1048,0.3225,1962.1062,1246.5112,-338.2556,"converged normally"
"101",2504.2269,327,302,0,0.272,0.1135,-0.2778,0.2552,3074.8481,2319.9056,-857.9528,"converged normally"
"102",2461.0746,296,333,0,0.2851,0.1308,-0.3129,0.3073,3040.766,2208.3294,-771.1647,"converged normally"
"103",366.869,352,277,0.2817,0.0199,0.0782,0.9326,0.9577,6068.1132,5327.7396,-2386.8698,"converged normally"
"104",1866.4032,285,344,0,0.2417,0.1231,-0.3203,0.3293,4271.1333,3392.5997,-1352.2998,"converged normally"
"105",380.4247,364,265,0.2662,0.02,0.08,0.9317,0.9557,7592.402,6869.6442,-3169.8221,"converged normally"
"106",377.5142,351,278,0.1583,0.0249,0.0777,0.9223,0.9514,7014.0494,6234.5316,-2839.2658,"converged normally"
"107",333.9535,311,318,0.1774,0.0242,0.0869,0.9127,0.9516,5872.912,4970.9743,-2167.4872,"converged normally"
"108",391.4165,376,253,0.2813,0.0175,0.0761,0.927,0.951,7438.7353,6705.5818,-3099.7909,"converged normally"
"11",1492.2575,284,345,0,0.2186,0.1222,-0.2418,0.3713,4836.6789,3978.0994,-1644.0497,"converged normally"
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"111",1633.5293,258,371,0,0.2448,0.0909,-0.3465,0.3808,3972.4483,3049.1642,-1153.5821,"converged normally"
"112",342.646,321,308,0.1943,0.0269,0.096,0.9187,0.9535,6701.5295,5921.4888,-2652.7444,"converged normally"
"113",1309.1301,252,377,0,0.2171,0.0846,-0.3197,0.4072,5352.3596,4414.1437,-1830.0718,"converged normally"
"115",2074.2987,332,297,0,0.2428,0.1114,-0.2026,0.2883,4511.1654,3772.0404,-1589.0202,"converged normally"
"116",2292.314,349,280,0,0.2501,0.155,-0.0387,0.3538,2946.2666,2249.4484,-844.7242,"converged normally"
"117",1674.6305,332,297,0,0.2063,0.1344,-0.1989,0.2905,4482.2246,3723.7231,-1564.8616,"converged normally"
"118",1474.1837,282,347,0,0.2026,0.0783,-0.2377,0.3778,4162.3432,3248.0922,-1277.0461,"converged normally"
"119",508.0359,357,272,0,0.0667,0.0843,0.6146,0.7548,5020.7259,4326.0714,-1891.0357,"converged normally"
"12",1991.768,328,301,0,0.2387,0.1075,-0.1364,0.3356,4100.1736,3351.0941,-1374.547,"converged normally"
"121",1041.8246,231,398,0,0.1922,0.0993,-0.0907,0.5509,4935.3141,3918.8711,-1561.4355,"converged normally"
"122",1938.1225,314,315,0,0.2397,0.1175,-0.2011,0.3277,3663.6835,2876.2434,-1123.1217,"converged normally"
"123",380.1632,360,269,0.2229,0.0234,0.0941,0.9278,0.9537,5210.8872,4504.7695,-1983.3848,"converged normally"
"124",918.9493,197,432,0,0.1954,0.0944,-0.3952,0.5101,5144.3882,4036.5898,-1586.2949,"converged normally"
"126",1692.3524,282,347,0,0.2162,0.0978,-0.4375,0.2774,6388.4865,5461.0149,-2383.5075,"converged normally"
"127",2642.1012,364,265,0,0.2652,0.1573,-0.2291,0.2025,2247.1796,1587.6909,-528.8455,"converged normally"
"129",1003.3349,317,312,0,0.1378,0.0873,0.0381,0.4564,6168.4569,5314.763,-2345.3815,"converged normally"
"131",2179.7327,284,345,0,0.261,0.1182,-0.4472,0.2674,4340.3777,3448.5639,-1379.2819,"converged normally"
"132",794.3101,181,448,0,0.1951,0.0911,-0.3924,0.5508,4379.9674,3265.0583,-1184.5291,"converged normally"
"133",2083.4309,314,315,0,0.2502,0.1071,-0.2433,0.3041,5764.2036,4976.7636,-2173.3818,"converged normally"
"135",371.8508,354,275,0.2467,0.0222,0.086,0.9217,0.9506,5061.5781,4339.7105,-1894.8553,"converged normally"
"136",2755.2747,344,285,0,0.2806,0.1376,-0.2247,0.249,2037.8692,1328.6078,-379.3039,"converged normally"
"137",2459.7251,367,262,0,0.2531,0.1156,-0.0822,0.2921,2311.7526,1659.7298,-567.8649,"converged normally"
"138",2306.5852,363,266,0,0.2453,0.1545,-0.1958,0.2263,2849.075,2187.0978,-827.5489,"converged normally"
"139",1833.1133,317,312,0,0.1578,0.1269,0.0809,0.4806,3480.3126,2463.9741,-919.987,"converged normally"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"143",1220.7025,258,371,0,0.1771,0.0827,-0.0205,0.5307,4520.5681,3489.5132,-1373.7566,"converged normally"
"146",391.7588,379,250,0.3147,0.0138,0.0774,0.9309,0.9533,7401.3021,6608.6811,-3054.3405,"converged normally"
"147",1465.6591,321,308,0,0.1879,0.1158,-0.0235,0.4144,5356.3293,4550.8722,-1967.4361,"converged normally"
"148",1233.5023,300,329,0,0.144,0.0738,0.0682,0.5017,6226.8212,5236.3222,-2289.1611,"converged normally"
"149",305.938,278,351,0.1199,0.0239,0.0737,0.9011,0.951,8090.0434,6977.2035,-3137.6018,"converged normally"
"15",1698.4493,287,342,0,0.2338,0.127,-0.3772,0.2955,3900.3104,3045.3755,-1180.6877,"converged normally"
"150",402.3256,394,235,0.3752,0.011,0.0737,0.938,0.9565,10083.5729,9341.1949,-4435.5975,"converged normally"
"152",378.1999,361,268,0.2563,0.0163,0.0678,0.925,0.9517,11083.5574,10229.338,-4846.669,"converged normally"
"154",376.4642,356,273,0.2184,0.0209,0.082,0.9284,0.9546,7971.4442,7186.5154,-3320.2577,"converged normally"
"155",379.1544,370,259,0.3601,0.0137,0.0757,0.9497,0.9669,8208.052,7461.4063,-3471.7032,"converged normally"
"156",388.1015,377,252,0.3356,0.0148,0.0806,0.9411,0.9604,7041.5214,6309.3921,-2902.6961,"converged normally"
"157",387.3901,379,250,0.3719,0.0124,0.073,0.944,0.9622,8901.0589,8156.8755,-3828.4377,"converged normally"
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"159",392.2598,381,248,0.3343,0.0147,0.0785,0.9422,0.9607,6238.2644,5515.9259,-2509.963,"converged normally"
"160",380.8506,359,270,0.2049,0.0214,0.0871,0.9221,0.9501,8522.008,7741.6137,-3600.8068,"converged normally"
"162",1127.4236,299,330,0,0.1292,0.0923,0.0726,0.5057,6668.5341,5641.5781,-2490.789,"converged normally"
"164",391.4116,378,251,0.3063,0.015,0.0712,0.9288,0.952,9035.8907,8267.1794,-3882.5897,"converged normally"
"165",1490.4788,296,333,0,0.2129,0.0923,-0.2452,0.343,4629.2901,3800.5742,-1567.2871,"converged normally"
"166",1261.4528,254,375,0,0.2111,0.1069,-0.4582,0.3398,4376.3629,3443.1243,-1346.5621,"converged normally"
"167",1509.3456,254,375,0,0.233,0.1056,-0.4303,0.3524,5423.0519,4481.4796,-1865.7398,"converged normally"
"168",296.2812,261,368,0.0657,0.0373,0.0551,0.8972,0.9522,5632.0075,4684.5138,-1974.2569,"converged normally"
"169",389.7229,366,263,0.1886,0.0222,0.0817,0.9256,0.9515,9047.2702,8291.0933,-3882.5466,"converged normally"
"17",333.2287,315,314,0.2299,0.0252,0.0869,0.9201,0.9552,4613.696,3825.2862,-1598.6431,"converged normally"
"170",403.7453,387,242,0.2685,0.0164,0.0763,0.9319,0.953,10738.4992,9992.7993,-4754.3997,"converged normally"
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"176",2352.4067,358,271,0,0.2502,0.1563,-0.0345,0.3398,2305.4557,1631.0353,-544.5176,"converged normally"
"177",654.4985,224,405,0,0.1469,0.0704,0.2567,0.7032,4768.7241,3760.8264,-1475.4132,"converged normally"
