"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,0.1153,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0.08,0,0,0,0,0,0,0,0.1245,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1273,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1302,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1775,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1269,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0.0769,0,0,0,0,0,0,0.1117,0,0,0,0
"N_worried",0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0
"self_esteem",0,0,0,0,0,0,0,0,0.1168,0,0,0,0,0,0,0,0,0,0,0,0.1553,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1294
